CustomerID,Recency,Frequency,Monetary,TotalQuantity,AvgUnitPrice,Country,Cluster
12346.0,325,1,77183.6,74215,1.04,United Kingdom,3
12347.0,1,7,4310.0,2458,2.644010989010989,Iceland,1
12348.0,74,4,1797.24,2341,5.764838709677419,Finland,1
12349.0,18,1,1757.55,631,8.289041095890411,Italy,1
12350.0,309,1,334.4,197,3.841176470588235,Norway,0
12352.0,35,8,2506.04,536,15.93070588235294,Norway,1
12353.0,203,1,89.0,20,6.074999999999999,Bahrain,0
12354.0,231,1,1079.4,530,4.5037931034482765,Spain,0
12355.0,213,1,459.4,240,4.203846153846154,Bahrain,0
12356.0,22,3,2811.43,1591,3.201186440677966,Portugal,1
12357.0,32,1,6207.67,2708,3.3486259541984733,Switzerland,1
12358.0,1,2,1168.06,248,8.27421052631579,Austria,1
12359.0,57,4,6372.58,1622,8.620403225806452,Cyprus,1
12360.0,51,3,2662.06,1165,3.54968992248062,Austria,1
12361.0,286,1,189.9,91,3.335,Belgium,0
12362.0,2,10,5226.23,2229,3.94093984962406,Belgium,1
12363.0,109,2,552.0,408,2.3117391304347827,Unspecified,1
12364.0,7,4,1313.1,1506,1.910235294117647,Belgium,1
12365.0,290,2,641.38,174,17.150454545454547,Cyprus,0
12367.0,3,1,168.9,173,3.2,Denmark,1
12370.0,50,4,3545.69,2353,2.800299401197605,Cyprus,1
12371.0,44,2,1887.96,591,3.8742857142857146,Switzerland,1
12372.0,71,3,1298.04,794,3.001346153846154,Denmark,1
12373.0,310,1,364.6,197,4.582142857142857,Austria,0
12374.0,24,1,742.9300000000001,342,4.21969696969697,Austria,1
12375.0,10,2,457.5,178,6.912941176470589,Finland,1
12377.0,314,2,1628.12,944,2.718831168831169,Switzerland,0
12378.0,129,1,4008.62,2529,2.9974429223744297,Switzerland,1
12379.0,81,2,852.24,407,2.86625,Belgium,1
12380.0,21,4,2724.81,1127,3.378653846153846,Belgium,1
12381.0,4,5,1845.31,808,4.683218390804598,Norway,1
12383.0,184,5,1850.56,1532,3.086969696969697,Belgium,0
12384.0,28,2,585.27,126,7.87925925925926,Switzerland,1
12386.0,337,2,401.9,354,2.391,Australia,0
12388.0,15,6,2780.66,1462,2.7777,Australia,1
12390.0,79,1,549.84,353,3.996875,Belgium,1
